_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs
5.189659186,32.91118651,1657,00 20 45.54,+32 54 40.4,5.79,5.18974442,32.91122853,5.05,-29.44,-17.29,0.87,1.595, ,5.18965919,32.91118651
5.280287656,37.96860317,1686,00 21 07.23,+37 58 07.3,5.16,5.28010785,37.96869954,20.42,58.32,-39.65,0.73,0.442, ,5.28028766,37.96860317
5.369920484,-77.42687264,1706,00 21 28.74,-77 25 36.7,5.96,5.3697616,-77.42685699,4.68,14.23,-6.44,0.53,1.397, ,5.36992048,-77.42687264
5.379992491,-28.98146883,1708,00 21 31.18,-28 58 52.7,5.18,5.37990144,-28.98129509,10.5,32.77,-71.48,0.87,1.006, ,5.37999249,-28.98146883
5.442807165,-20.05802357,1728,00 21 46.23,-20 03 28.8,5.61,5.44264511,-20.05799253,4.21,62.63,-12.77,0.84,1.58,P,5.44280717,-20.05802357
6.06523854,52.01991398,1921,00 24 15.64,+52 01 11.7,5.58,6.06518443,52.01992467,2.38,13.7,-4.4,0.69,-0.11, ,6.06523854,52.01991398
6.197939463,61.83105752,1960,00 24 47.49,+61 49 51.8,5.38,6.19786908,61.83106347,4.27,13.67,-2.45,0.54,0.008, ,6.19793946,61.83105752
6.276711312,53.04678574,1982,00 25 06.39,+53 02 48.4,5.72,6.276607,53.04678501,6.17,25.8,0.3,0.71,-0.056, ,6.27671131,53.04678574
6.35086824,1.93969241,2006,00 25 24.22,+01 56 23.0,5.77,6.35090309,1.93972374,5.5,-14.33,-12.89,1.03,0.855, ,6.35086824,1.93969241
6.43780017,-77.25424559,2021,00 25 39.20,-77 15 18.1,2.82,6.41334183,-77.25503511,133.78,2220.12,324.37,0.51,0.618, ,6.43780017,-77.25424559
6.550840894,-43.67982953,2072,00 26 12.12,-43 40 47.7,3.93,6.55048418,-43.67990933,42.51,106.14,32.83,0.69,0.175, ,6.55084089,-43.67982953
6.571045712,-42.30598151,2081,00 26 16.87,-42 18 18.4,2.4,6.57028075,-42.30512197,42.14,232.76,-353.64,0.78,1.083, ,6.57104571,-42.30598151
6.811285342,-25.54717034,2159,00 27 14.69,-25 32 49.7,5.99,6.81119663,-25.54713325,4.86,32.93,-15.26,0.97,1.022, ,6.81128534,-25.54717034
6.982076702,-33.00716708,2210,00 27 55.71,-33 00 25.4,4.86,6.98213606,-33.0070446,5.95,-20.48,-50.39,0.72,1.634,P,6.9820767,-33.00716708
7.012145831,17.89312479,2219,00 28 02.84,+17 53 35.1,5.01,7.01185234,17.89307501,6.65,114.91,20.48,0.78,1.584, ,7.01214583,17.89312479
7.056890732,44.39445199,2225,00 28 13.59,+44 23 40.2,5.18,7.05660466,44.39448925,12.32,84.1,-15.33,0.75,0.043, ,7.05689073,44.39445199
7.110503905,-39.91500236,2240,00 28 26.42,-39 54 53.6,5.42,7.11007309,-39.91490183,7.86,135.95,-41.36,0.68,1.556, ,7.11050391,-39.91500236
7.509824527,-3.957331887,2353,00 30 02.35,-03 57 26.3,5.72,7.50980355,-3.95729662,3.82,8.61,-14.51,0.92,1.545, ,7.50982453,-3.95733189
7.53068761,29.75155669,2355,00 30 07.34,+29 45 06.1,5.2,7.53056566,29.75169567,17.62,43.56,-57.18,0.86,0.271, ,7.53068761,29.75155669
7.583052718,59.97755442,2377,00 30 19.91,+59 58 39.2,5.94,7.58297373,59.977564,4.54,16.26,-3.94,0.76,-0.003, ,7.58305272,59.97755442
